"resname"	"en"	"it"
"closeConfirm"	"If you leave the page now, all results will be lost. Please confirm you want to leave."	"Se si esce dalla pagina ora, tutti i risultati andranno persi. Conferma che vuoi uscire."
"interaction"	"The interAction research group, University of Trento."	"Il gruppo di ricerca InterAction dell'Università degli Studi di Trento."
"completeBodyNew"	"Thanks for your help! The machine has just got 17.3% smarter! A little more studying and it will get almost as smart as you."	"Grazie per l'aiuto! La macchina e' appena diventata più intelligente!"
"simpleLabel_read"	"Easy to read"	"Semplice"
"complexLabel_read"	"Difficult to read"	"Complesso"
"testQuestion_read"	"How easy/difficult to read was the page?"	"Quanto era semplice/complessa la pagina?"
"how_vc"	"Simple or Complex"	"Semplici o complessi"
"how_read"	"Easy or difficult to read"	"Facile o difficile da leggere"
"instrTitle2step"	"Part 1. Well done!"	"Parte 1. Ben fatto!"
"instrBody2step"	"The Machine is smily – it liked how you taught it. Please go on and teach it more."	"La macchina è sorriso - è piaciuto come hai insegnato esso. Si prega di andare avanti e insegnare più."
